"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"BRF2",6.21635053068044,6.18773757919682,6.41432800819824,6.76272182826449,6.43546942383631,6.5335329733225,7.01484874462295,6.93671750293675
"PRB3",6.80977147197823,6.55746820220557,6.74419152109168,6.44113526651979,6.52302030124772,6.61181070659641,6.05106726115442,5.93811673195873
"CAMK2N1",7.84804647964828,6.08980084346999,7.85307828112203,7.38111266042149,7.88363959505385,7.87138010909823,7.57692931036276,7.68473539314577
"SRGN",10.1470821318339,9.71449261456639,10.3366463145219,10.7314176068272,10.737221497516,10.2214434635338,10.8850816668685,10.8103331768037
"SCYL2",5.53041300662853,5.94944297292806,5.83970661903084,6.59380583552018,5.93864070648785,5.85851146363259,6.91673463905556,6.84156596275385
"PARVA",7.09104335766338,6.90373326767037,7.0949418486268,7.59527255345127,7.31156233838282,7.322808446952,7.66636355655323,7.75945201903999
"FGD6",5.31912078612044,5.51038672128059,5.52065309404305,5.94166926739554,5.64568936561463,5.45742135067349,6.27340306587341,6.34787011499293
"KDM3A",7.54101392326092,7.06808340505515,7.83311660793853,7.28002434525389,7.85202058069524,7.69784598477179,7.5782051773855,7.86300493841829
"CMAS",5.24193372101459,5.84489608132304,5.25756766539657,6.02178314618086,5.34976167216792,5.41155897784375,6.59795335644412,7.09342384825556
"NXT2",6.16735823920289,6.70855577050695,6.80081105091962,7.23676913679158,6.86261811594134,6.67805670361349,7.43323969502504,7.56965168019628
"RELN",6.69251599003259,6.59246120366133,6.93161513300211,7.72198414417751,6.82878927305642,6.76271768846958,8.23254209279703,8.53792884947967
"PELI1",5.32062399526079,4.73573997390521,5.60091126773748,4.64239837429533,5.70276690644466,5.4733612996364,5.1125311138396,5.44946561551849
"THOC2",6.30800708836526,6.49042630863876,6.75322023407677,6.83065995110565,6.58342145495228,6.94665971214703,7.2340284468836,7.61957998299977
"ADGRG6",6.122323547038,5.76947815893482,6.2061369254944,6.62495285842719,6.21284359182592,6.36482098116311,7.23415851124096,7.44482213087954
"PTGER4",6.12570106677221,5.44268942216667,6.70963763559742,5.77337707837335,6.83508597658465,6.75737093667563,6.54564479624459,6.82323913078645
"MRS2",4.27555263331649,5.62821011769254,4.4064676497435,4.71600869165548,4.74639279176309,4.80654125890087,5.52450651502107,5.79891837618602
"CLK4",6.57902349427926,6.09917946530451,6.84562995191697,5.66591035071866,6.88681100303067,6.95919624326676,6.50799687773723,6.73255213723172
"PTGS2",4.1414004844581,4.10662152754111,4.17444868835488,3.74637453146777,5.20577968461189,4.97370865926384,4.93970022862015,4.83150831650322
"PTHLH",5.04084904371331,4.10327151886527,5.02448146425554,4.38396755079091,5.17733660891788,5.0443013906419,4.97265968469983,5.03120636314563
"MRTFB",5.89913012956888,6.57598950446054,6.34093483638522,7.06039532719494,6.25429987399092,6.41331707281869,7.62489542987334,7.69416973402979
"PTX3",6.89187543135761,9.10930515490012,7.18412969082866,7.98762078826836,9.96316189669422,9.91160840627939,9.39025335658538,9.68534064537847
"PTBP2",5.20909786372499,5.77526595041468,5.7638889511597,5.28223320870518,5.76734868838634,5.73335081380931,5.81201352577653,6.07645512363658
"RAD51C",6.63523418877843,7.05195838500232,6.69635750923634,7.24923445603863,6.84671816760618,7.11784306520741,7.56107040337923,7.78032820933741
"RBBP6",6.26636206404632,6.10637482123821,6.58670705207204,5.93560565758947,6.8536210814133,6.73986989354342,6.46623869883429,6.440310021539
"RCN2",7.51944046339893,7.85865926460106,7.54853110932963,8.11050327309344,7.68139961460444,7.9784999023665,8.27778002967829,8.5466068499529
"RCVRN",6.14859494657297,5.82481611264913,6.00828373674157,5.9629867223993,5.93061672509164,5.72514122704893,5.44671872810922,5.43593151697297
"RDX",4.82904550770798,5.14370625068791,5.39675738163197,6.05529445139921,5.40081144424022,5.64443745344199,6.32098393006623,6.08601557084514
"RECQL",5.39036577413163,6.43584693733105,5.65170742612075,5.81819081390692,5.69092103832501,5.7906519712461,6.58064145678259,6.90492080620682
"BCL2A1",5.01865369336445,5.28424937180343,5.80789470467655,5.4930609032534,6.29690867530746,6.13549145143327,6.63216983507605,6.52057092805423
"SAV1",6.90252899084129,6.93512637053915,7.21081991582574,6.90351233896229,7.35920276736868,7.02399792146637,7.74874452626775,7.83527440436329
"RNF6",6.67652518760418,6.49549065397966,7.23160904173731,6.09819862267654,7.18443246805058,7.15193630775902,7.05025617480596,7.25908131429247
"NAA35",5.39653375487748,5.5910282873187,5.44852053510136,6.20021710268673,5.52040213029035,5.83011275303462,6.71847321723682,7.08965409165977
"RPL38",10.2651182277157,10.8480513336298,10.1780471384588,9.86734031775799,10.1418597113222,10.3266080085261,9.19352967128685,9.68550969855341
"RPS11",10.9890574020742,11.3856083826256,10.7070222853176,9.77972493282142,10.9774708996237,11.1459579309891,9.09180912168308,9.17443388798915
"CCL2",5.59545267700999,5.0227884147512,5.17503554474679,5.10828709672892,5.06698446691184,5.16828906952058,4.64433146066738,4.57858699577107
"CCL20",4.97039265590818,4.52926573730054,4.76961878760293,4.82250046009798,6.15886335284933,6.41475629633065,7.28765331378674,7.10685600085237
"CXCL6",6.01847027571131,8.29953774577249,6.46957432888893,5.56616288779579,8.35213460822496,8.37883400240885,8.80603946269756,9.04047402852585
"CXCL5",3.31821168509475,3.39623586550187,3.62857976020607,3.66474692906146,4.87407069994911,4.4462573612775,4.13867051907572,4.00321056342014
"SDC4",9.23739703424446,8.07483496440273,9.2333506674995,7.90575958637159,9.9207663691399,9.8116798984155,9.15209290850806,9.0893611531951
"NCAPG",3.89112645693738,5.25107584679091,4.37300136459458,5.41116437195544,4.44628296100552,4.13704853475805,6.41526842762225,6.70399631179983
"MPP5",5.0203995511449,6.05354368031388,5.90114754809008,6.62180696245332,5.56771767696634,5.93786798209169,7.05130322629072,7.22366885128062
"SFTPC",6.97418016020919,6.6145298153362,6.58408494396748,7.09710754713571,6.48146225417693,6.81669664839166,6.33653038724216,6.12562229440513
"SGK1",6.95172994528215,6.66512282979373,7.19501729001245,6.05045275365755,7.73001153450786,7.44729605626843,7.65223812465858,7.96350158868975
"MFSD1",8.69716189115024,8.34865396368996,8.9758230900825,8.50133641731892,9.02011485284038,8.91262147979686,9.03727310344511,9.15785282515483
"SLC1A1",5.91227118288656,5.98843135010815,5.97876227919312,6.54794882406111,5.97621955653985,6.0862786537565,7.05375253498638,7.21723323446285
"SLC12A2",8.2906008444125,8.14644130829661,8.22984546771116,8.74839106339284,8.34320448853321,8.32669855427473,9.04044979851276,9.20443818823923
